# Radiant negation baseline -- density per 100 words, measured 20260821.211423 by
# tools/fixtures/radiant_negation_scan.sh. A file may FALL freely; rising above its row is a red.
# Register to aim at: foundations/20260706-185112_follow-our-compass.md reads 0.40.
#
# path density
.claude/rules/acme-employee-voice.md 2.33
.claude/rules/align.md 2.06
.claude/rules/ascii-first.md 1.83
.claude/rules/azimuth-galaxy-proposal-format.md 1.96
.claude/rules/checkpoint.md 1.47
.claude/rules/cell.md 1.64
.claude/rules/collaboration.md 2.10
.claude/rules/comlink-tendency.md 3.05
.claude/rules/commit-messages.md 2.94
.claude/rules/debride.md 2.25
.claude/rules/design-rooms.md 1.87
.claude/rules/docs-implementation-sync.md 3.58
.claude/rules/git-signing.md 2.71
.claude/rules/gratitude-licenses.md 2.82
.claude/rules/kyri.md 1.45
.claude/rules/lindy-first-crux.md 1.17
.claude/rules/molt.md 1.95
.claude/rules/placeholder-ship-names.md 2.33
.claude/rules/quin.md 0.00
.claude/rules/radiant-style.md 1.61
.claude/rules/radiant-wishes-ending.md 1.61
.claude/rules/reds-first.md 3.07
.claude/rules/remember-git-nib.md 1.31
.claude/rules/remember.md 1.58
.claude/rules/reya2.md 0.00
.claude/rules/rio3.md 0.00
.claude/rules/riyo.md 1.49
.claude/rules/round-close-send-checkin.md 1.93
.claude/rules/send-word.md 1.37
.claude/rules/session-logs.md 1.43
.claude/rules/stamp-and-name.md 2.83
.claude/rules/tame-guidance.md 2.22
.claude/rules/twilight-style.md 1.90
.claude/rules/urbit-reframe.md 2.39
.claude/rules/vocabulary-nib.md 1.20
.claude/rules/vocabulary-survey.md 2.50
.claude/rules/waymark-ladders.md 0.66
